airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
Delta,966099436236505088,Tue Feb 20 23:57:09 +0000 2018,@paavo_s @Delta This is literally the first time I’ve seen an airline be complimented on social media  thank you for leading a movement,0,3,en,966099241025359872,171308518,,,
Delta,966099422311526401,Tue Feb 20 23:57:06 +0000 2018,@Delta Your customer service line is over 2 hours long right now. Trying to downgrade my flight to Phoenix as ther… https://t.co/7vHoNILoYW,0,0,en,,46491783,,,
Delta,966099241025359872,Tue Feb 20 23:56:22 +0000 2018,Thank you @Delta for getting me to St Louis safely! Keep up the great work. https://t.co/rBniCpJjhL,4,71,en,,15372840,,,
Delta,966099144346685440,Tue Feb 20 23:55:59 +0000 2018,@Delta your CLEAR staff at DTW right now is outstanding! Huge THANKS for making the start of my fist European trip fantastic!,0,0,en,,2456520862,,,
Delta,966098994563813377,Tue Feb 20 23:55:24 +0000 2018,@_thesharkmaster @Delta Thanks for backing me up in both the digital world and physical world. I'll see you this we… https://t.co/3DPlypn5Lf,0,0,en,966070720114470912,2343508220,,,
Delta,966098737583058944,Tue Feb 20 23:54:22 +0000 2018,RT @SecretFlying: SUMMER: Baltimore to Havana  Cuba for only $215 roundtrip with @Delta.  https://t.co/uQWmv03Zej https://t.co/pVIbeOQv30,18,0,en,,30584695,,,
Delta,966098643576066049,Tue Feb 20 23:54:00 +0000 2018,@delta flight2963 didn't finish clearing standby till 1 min after schedule departure time... Cant even figure out w… https://t.co/UVj0tu13gm,0,0,en,,2916005089,,,
Delta,966098477053771776,Tue Feb 20 23:53:20 +0000 2018,Why are your fucking flights so expensive @Delta @SpiritAirlines @AmericanAir ‼️‼️,0,2,en,,408111284,,,
Delta,966098460071153665,Tue Feb 20 23:53:16 +0000 2018,RT @SecretFlying: SUMMER: Baltimore to Havana  Cuba for only $215 roundtrip with @Delta.  https://t.co/uQWmv03Zej https://t.co/pVIbeOQv30,18,0,en,,125638405,,,
Delta,966098370660990978,Tue Feb 20 23:52:55 +0000 2018,@delta seems your staff can't handle my request for proper compensation they keep bouncing me in between department… https://t.co/9F0qNPcEqF,0,1,en,966053222946299904,2343508220,,,
Delta,966098204709326853,Tue Feb 20 23:52:15 +0000 2018,@sportsiren @Delta Should have served some adult beverages and maybe some bbq,0,0,en,966056480276471809,18876278,,,
Delta,966097950056374273,Tue Feb 20 23:51:15 +0000 2018,Dear @AmericanAir  Thanks for delaying my flight  deplaning me  making me miss my connecting flight  and making me… https://t.co/ilkIJVhcao,1,16,en,,54228824,US,Minnesota  USA,admin
Delta,966097523072028672,Tue Feb 20 23:49:33 +0000 2018,RT @SecretFlying: SUMMER: Baltimore to Havana  Cuba for only $215 roundtrip with @Delta.  https://t.co/uQWmv03Zej https://t.co/pVIbeOQv30,18,0,en,,32945397,,,
Delta,966097475386990594,Tue Feb 20 23:49:22 +0000 2018,@Delta I’m being delayed in Dallas DL1171 and was wondering if agents hold departing flights if they are aware pass… https://t.co/thHgSyCaqz,0,0,en,966096685599358976,2770619038,,,
Delta,966097202480336896,Tue Feb 20 23:48:16 +0000 2018,RT @SecretFlying: SUMMER: Baltimore to Havana  Cuba for only $215 roundtrip with @Delta.  https://t.co/uQWmv03Zej https://t.co/pVIbeOQv30,18,0,en,,258345913,,,
Delta,966096956698308608,Tue Feb 20 23:47:18 +0000 2018,@Delta DL1076 Flight landed 25 minutes early  still sitting on runway!!! Now flight will be late!  Barking dog on flight!,0,0,en,,899698153640796161,,,
